date,count,uniques
2026-07-17,0,0
2026-07-18,0,0
2026-07-19,0,0
2026-07-20,0,0
2026-07-21,0,0
2026-07-22,0,0
2026-07-23,0,0
2026-07-24,0,0
2026-07-25,1,1
2026-07-26,0,0
2026-07-27,0,0
2026-07-28,0,0
2026-07-29,1,1
2026-07-30,0,0
2026-07-31,32,19
2026-08-01,2,2
2026-08-02,11,7
2026-08-03,4,4
2026-08-04,1,1
2026-08-05,4,4
2026-08-06,5,4
2026-08-07,1,1
2026-08-08,7,4
2026-08-09,10,7
2026-08-10,4,4
2026-08-11,8,5
2026-08-12,2,2
2026-08-13,3,3
2026-08-14,2,2
